function_type;description;function_mysql;argument_func_mysql;function_postgresql;argument_func_postgresql;returns;detailed_description;examples_mysql;examples_postgresql;replacing
агрегатные;Кол-во записей;COUNT();* для опр кол-ва записей (поле для опр кол-ва значений);COUNT();* для опр кол-ва записей (поле для опр кол-ва значений);число;"подсчета количества записей в таблице или количества значений в поле.  Для определения количества значений в поле функции COUNT() в качестве аргумента необходимо передать это поле.  Для определения количества записей в таблице в функцию COUNT() в качестве аргумента необходимо передать звездочку (*).    Важным отличием между вызовами COUNT(*) и COUNT(<название поля>) является то, что в первом случае возвращается количество записей в таблице без учета значений в этих записях, в то время как во втором случае возвращается количество значений в поле, причем значения NULL не учитываются.  можно использовать ключевое слово DISTINCT, чтобы в итоговых вычислениях участвовали лишь уникальные значения поля  ";"SELECT COUNT(*) AS num_of_songs,        COUNT(release_year) AS num_of_years FROM Songs;";;
агрегатные;минимальное значение;MIN();поле;MIN();поле;значение;поиска минимального значений в поле. игнорируют значения NULL при вычислении. применяется и к строковым полям.;;;
агрегатные;максимальное значение;MAX();поле;MAX();поле;значение;поиска ммаксимального значений в поле. игнорируют значения NULL при вычислении. применяется и к строковым полям.;;;
агрегатные;сумма;SUM();поле;SUM();поле;число;"вычисления суммы числовых значений поля.  игнорирует значения NULL.  можно использовать ключевое слово DISTINCT, чтобы в итоговых вычислениях участвовали лишь уникальные значения поля. возвращают значение 0.0, если применяются к нечисловым полям.";;;
агрегатные;перечисления значений поля;GROUP_CONCAT();поле;STRING_AGG();"поле, разделитель";значения;"перечисления значений поля через запятую. Перечисляемые функцией GROUP_CONCAT() значения можно сортировать.  Запятая является разделителем по умолчанию, и его можно изменить. Чтобы задать собственный разделитель, необходимо воспользоваться ключевым словом SEPARATOR, после которого предоставить строку, содержащую разделитель. игнорирует значения NULL.  можно использовать ключевое слово DISTINCT, чтобы в итоговых вычислениях участвовали лишь уникальные значения поля";"SELECT GROUP_CONCAT(trackname ORDER BY trackname SEPARATOR '; ') AS songs FROM Songs WHERE id <= 5;";"select string_agg(name, '-')";STRING_AGG()
ранжирующие;порядковый номер записи в рамках указанного окна (начиная с 1);ROW_NUMBER();;ROW_NUMBER();;число;"вычисляет порядковый номер записи в рамках указанного окна (начиная с 1). ORDER BY в спецификации окна определяет порядок записей лишь внутри окна.  Секционирование выполняется с помощью оператора PARTITION BY. Если нужно секционирование и упорядочивание, то оператор PARTITION BY должен располагаться до оператора ORDER BY";ROW_NUMBER() OVER (PARTITION BY department ORDER BY salary DESC) AS row_num;;
ранжирующие;ранг записи;DENSE_RANK();;DENSE_RANK();;число;"вычисляет ранг записи в рамках указанного окна. Функция присваивает первой записи окна ранг, равный 1, и увеличивает его каждый раз, когда очередная запись в поле (или полях) упорядочивания содержит значение, отличное от значения предыдущей записи в том же поле. ";DENSE_RANK() OVER (PARTITION BY department ORDER BY salary DESC) AS place;;
ранжирующие;ранг записи с пропуском при повторении;RANK();;RANK();;число;"выполняет ранжирование в рамках указанного окна, при повторении рангов следующий ранг отбрасывает.";RANK() OVER (PARTITION BY department ORDER BY salary DESC) AS place ;;
ранжирующие;разбивает на группы;NTILE();Кол-во групп;NTILE();Кол-во групп;число;"разбиения окна на заданное количество групп равного размера. если окно из n записей делится на k групп, то первые n % k (остаток от деления n на k) групп будут содержать ровно на 1 запись больше, чем остальные группы.";NTILE(3) OVER (ORDER BY id) AS group_number;;
оконные;среднее арифметическое ;AVG();поле;AVG();поле;число;"среднее арифметическое числовых значений, хранящихся в определенном поле окна. игнорируют значения NULL. возвращают значение 0.0, если применяются к нечисловым полям.";AVG(salary) OVER (PARTITION BY department) AS department_avg_salary;;
оконные;сумма;SUM();поле;SUM();поле;число;"Вычисляет сумму числовых значений, хранящихся в определенном поле окна. игнорируют значения NULL. возвращают значение 0.0, если применяются к нечисловым полям.";"SUM(salary) OVER () AS sum_salary, SUM(salary) OVER (PARTITION BY department) AS department_sum_salary";;
оконные;подсчет записей;COUNT();поле или *;COUNT();поле или *;число;"подсчета записей или непустых значений в поле. Если ее аргументом является звездочка (*), функция вычисляет количество записей в окне, если название поля — количество непустых значений в этом поле окна.";"COUNT(*) OVER (PARTITION BY department) AS employess_in_department, COUNT(salary) OVER (PARTITION BY department) AS employess_in_department_with_salary";;
оконные;минимум;MIN();поле;MIN();поле;значение;"вычисляет минимальное значение, хранящиеся в определенном поле окна, игнорируют значения NULL";MIN(salary) OVER (PARTITION BY department) AS department_min_salary;;
оконные;максимум;MAX();поле;MAX();поле;значение;"вычисляет максимальное значение, хранящиеся в определенном поле окна, игнорируют значения NULL";MAX(salary) OVER (PARTITION BY department) AS department_max_salary;;
оконные;значение первой записи окна;FIRST_VALUE();поле;FIRST_VALUE();поле;значение;"получения значения, которое содержится в определенном поле первой записи окна. Исп только с упорядоченными окнами.";FIRST_VALUE(salary) OVER (ORDER BY id) AS first_employee_salary;;
оконные;значение последней записи окна;LAST_VALUE();поле;LAST_VALUE();поле;значение;"получения значения, которое содержится в определенном поле последней записи окна. Если границы не определены то окно - от самой первой записи до текущей. Исп только с упорядоченными окнами.";LAST_VALUE(salary) OVER (ORDER BY id ROWS BETWEEN UNBOUNDED PRECEDING AND UNBOUNDED FOLLOWING) AS last_employee_salary;;
оконные;значение n-ой записи окна;NTH_VALUE();"поле, номер записи";NTH_VALUE();"поле, номер записи";значение;"получения значения, которое содержится в определенном поле n-ой записи окна (начиная с 1).  Важно определение границ. Исп только с упорядоченными окнами. возвращает значение NULL если выходит за рамки ";;;
оконные;значения отстающей от текущей на n;LAG();"поле, номер записи, значение если функция выходит за рамки окна(если не указать - тогда NULL)";LAG();"поле, номер записи, значение если функция выходит за рамки окна(если не указать - тогда NULL)";значение;"получения значения, которое содержится в определенном поле записи окна, отстающей от текущей на n. Возвращает значение NULL, если пытается получить значение записи, выходящей за рамки окна. В случае выхода за рамки окна функция LAG() умеет возвращать не только NULL, но и любое другое значение. Для этого при вызове функции достаточно указать необходимое значение в качестве третьего аргумента. Полностью игнорирует границы окна. Используется только с упорядоченными окнами.";"LAG(salary, 1, 0) OVER (ORDER BY id) AS prev_employee_salary";;
оконные;значения опережающей текущую на n.;LEAD();"поле, номер записи, значение если функция выходит за рамки окна";LEAD();"поле, номер записи, значение если функция выходит за рамки окна";значение;"получения значения, которое содержится в определенном поле записи окна, опережающей текущую на n. Полностью игнорирует границы окна. Используется только с упорядоченными окнами.  ";"LEAD(salary, 1, 0) OVER (ORDER BY id) AS next_employee_salary";;
